No.	アーティスト	曲名	歌ネットURL
61	CANDY TUNE	きゅきゅきゅキュート	該当なし
62	CANDY TUNE	ナナイロプロローグ	https://www.uta-net.com/song/372110/
63	CANDY TUNE	レイドバックジャーニー	https://www.uta-net.com/song/358462/
64	CANDY TUNE	レベチかわいい！	https://www.uta-net.com/song/369914/
65	CANDY TUNE	永遠Twilight	https://www.uta-net.com/song/381001/
66	CANDY TUNE	夏しかサマーー！♡	https://www.uta-net.com/song/377624/
67	CANDY TUNE	君もゾンビですか ゾンビですね	https://www.uta-net.com/song/363097/
68	CANDY TUNE	推し♡好き♡しんどい	https://www.uta-net.com/song/372111/
69	CANDY TUNE	絶対きゃんちゅー宣言っ！	https://www.uta-net.com/song/371845/
70	CANDY TUNE	倍倍FIGHT！	https://www.uta-net.com/song/358461/
71	CANDY TUNE	備えあれば無問題	該当なし
72	CANDY TUNE	必殺あざとポーズ	https://www.uta-net.com/song/358459/
73	CANDY TUNE	未完な青春	該当なし
74	CANDY TUNE	HAPPY BOUNCE BIRTHDAY	https://www.uta-net.com/song/388329/
75	CANDY TUNE	シャットダウン！	https://www.uta-net.com/song/391991/
76	SWEET STEADY	Call me, Tell me	https://www.uta-net.com/song/378805/
77	SWEET STEADY	SWEET BLOOM	https://www.uta-net.com/song/372842/
78	SWEET STEADY	Sweet Cafe	https://www.uta-net.com/song/390483/
79	SWEET STEADY	SWEET STEP	https://www.uta-net.com/song/388257/
80	SWEET STEADY	YAKIMOCHI	https://www.uta-net.com/song/376078/
81	SWEET STEADY	おねがいペンタス	https://www.uta-net.com/song/390482/
82	SWEET STEADY	カワイイコレクション	https://www.uta-net.com/song/382899/
83	SWEET STEADY	ぐっじょぶ！	https://www.uta-net.com/song/372841/
84	SWEET STEADY	すいすてたいむ	https://www.uta-net.com/song/382425/
85	SWEET STEADY	ダイヤモンドデイズ	https://www.uta-net.com/song/365597/
86	SWEET STEADY	なりたい私	https://www.uta-net.com/song/378806/
87	SWEET STEADY	なんてねっ！	https://www.uta-net.com/song/365595/
88	SWEET STEADY	ハートの魔法	https://www.uta-net.com/song/390481/
89	SWEET STEADY	ぱじゃまぱーてぃー！	https://www.uta-net.com/song/365598/
90	SWEET STEADY	ファンファーレ	https://www.uta-net.com/song/382426/
91	SWEET STEADY	ミチシルベ	https://www.uta-net.com/song/365594/
92	SWEET STEADY	ワガママ	該当なし
93	SWEET STEADY	始まりの合図	https://www.uta-net.com/song/365596/
94	SWEET STEADY	新世界クレッシェンド	該当なし
95	SWEET STEADY	Melodies	https://www.uta-net.com/song/390484/
96	SWEET STEADY	ガーベラの花のように	https://www.uta-net.com/song/392808/
97	SWEET STEADY	いぶいぶっ！	該当なし
98	SWEET STEADY	S.O.S	該当なし
99	CUTIE STREET	daylight	https://www.uta-net.com/song/363261/
100	CUTIE STREET	Shooting Star	https://www.uta-net.com/song/382424/
101	CUTIE STREET	かわいいさがしてくれますか？	https://www.uta-net.com/song/379347/
102	CUTIE STREET	かわいいだけじゃだめですか？	https://www.uta-net.com/song/362166/
103	CUTIE STREET	きゅーすとのうた	https://www.uta-net.com/song/379346/
104	CUTIE STREET	キューにストップできません！	https://www.uta-net.com/song/372838/
105	CUTIE STREET	ちきゅーめいくあっぷ計画	https://www.uta-net.com/song/372108/
106	CUTIE STREET	チョットヒトサジ	https://www.uta-net.com/song/376079/
107	CUTIE STREET	ハッピー世界！	https://www.uta-net.com/song/367488/
108	CUTIE STREET	ハルフレーク	https://www.uta-net.com/song/372107/
109	CUTIE STREET	ハロハロミライ	https://www.uta-net.com/song/363264/
110	CUTIE STREET	ひたむきシンデレラ！	https://www.uta-net.com/song/363263/
111	CUTIE STREET	ぷりきゅきゅ	https://www.uta-net.com/song/386530/
112	CUTIE STREET	モアベリサマー	https://www.uta-net.com/song/378789/
113	CUTIE STREET	ゆめみるプリマドンナ	https://www.uta-net.com/song/387641/
114	CUTIE STREET	ラブトレ	https://www.uta-net.com/song/369160/
115	CUTIE STREET	解	https://www.uta-net.com/song/363262/
116	CUTIE STREET	多元幸福論	https://www.uta-net.com/song/381112/
117	CUTIE STREET	でぃすこみゅーたんと！	https://www.uta-net.com/song/388610/
118	CUTIE STREET	ナイスだね	https://www.uta-net.com/song/390721/
119	MORE STAR	タイムライド	https://www.uta-net.com/song/388064/
120	MORE STAR	ハグ！	https://www.uta-net.com/song/385338/
121	MORE STAR	ぴたぴたきゅん	https://www.uta-net.com/song/388382/
122	MORE STAR	もっと、キラッと	https://www.uta-net.com/song/385164/
123	MORE STAR	大人未満	https://www.uta-net.com/song/387312/
124	MORE STAR	相ラブユー	https://www.uta-net.com/song/390241/
186	CANDY TUNE	すーぱー優勝ちゅーーん！	https://www.uta-net.com/song/391992/
507	FRUITS ZIPPER	ぱわーオブらぶ	https://www.uta-net.com/song/393903/
508	FRUITS ZIPPER	センセーション	https://www.uta-net.com/song/396181/
509	FRUITS ZIPPER	KODO	該当なし
510	CANDY TUNE	HTAG	https://www.uta-net.com/song/393520/
511	CANDY TUNE	スペシャル感謝祭	https://www.uta-net.com/song/394272/
512	CANDY TUNE	HOT！SCOOP！	https://www.uta-net.com/song/390720/
513	CANDY TUNE	びびなつFEVER！	該当なし
514	CANDY TUNE	アンインストールちゅー	該当なし
515	CANDY TUNE	Princess Girls♡	該当なし
516	CUTIE STREET	Crush on you	https://www.uta-net.com/song/392150/
517	CUTIE STREET	I Aman Me Mind	https://www.uta-net.com/song/392151/
518	CUTIE STREET	キュートなキューたい	https://www.uta-net.com/song/393522/
519	SWEET STEADY	とびきりドラマティカ	https://www.uta-net.com/song/394647/
520	CUTIE STREET	ホメマクリズム	https://www.uta-net.com/song/395102/
521	MORE STAR	あしたの準備ができたなら	https://www.uta-net.com/song/391989/
522	MORE STAR	WITH KAWAII論	https://www.uta-net.com/song/393113/
523	SWEET STEADY	気味が悪いんだからねっ	https://www.uta-net.com/song/396021/
524	CUTIE STREET	Error404♡	https://www.uta-net.com/song/396155/
525	MORE STAR	サマーゴー！！	https://www.uta-net.com/song/396020/
526	SWEET STEADY	DASH!!!	https://www.uta-net.com/song/396996/
